"STATION","NAME","DATE","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-03","66","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-04","65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-05","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-06","66","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-07","62","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-08","61","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-09","64","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-10","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-11","64","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-12","65","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-13","62","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-14","63","53"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-15","70","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-16","67","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-17","70","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-18","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-19","71","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-20","66","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-21","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-22","67","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-23","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-24","75","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-25","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-26","66","55"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-27","68","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-28","74","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-29","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-30","64","54"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-07-31","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-01","64","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-02","67","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-03","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-04","68","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-05","70","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-06","68","57"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-07","65","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-08","66","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-09","71","58"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-10","69","59"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-11","74","56"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2019-08-12","77","59"
